CODIGO	CLAVE	PRECIO1	PRECIO2	COSTO	ULTIMO_COSTO	DESCRIPCION
01302166	TSC2160TM	0.0000	0.0000	2877.5500	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 060.3 X 08.7 MM. (2" CED. 160)
01302167	TSC1/2160AI316	0.0000	0.0000	360.1325	360.1325	TUBO A/INOX. S/COSTURA T-316 DE 021.3 X 04.8 MM. (1/2" CED 160)
01302168	TCC240ROJA	0.0000	0.0000	130.0948	218.4379	TUBO DE ACERO AL CARBON CON COSTURA DE 060.3 X 03.9 MM ROJA RANURADA ( 2" CED 40 )
01302169	TCC3/440RJA	0.0000	0.0000	96.6200	0.0000	TUBO DE ACERO AL CARBON CON COSTURA DE 026.7 X 02.9 MM. ROJA (3/4" CED. 40)
01302170	TCC140RA	0.0000	0.0000	102.3960	102.3960	TUBO DE ACERO AL CARBON CON COSTURA DE 033.4 X 03.4 MM. RAN (1" CED. 40)
01302171	TCC11/440RJA	0.0000	0.0000	152.4057	144.2600	TUBO DE ACERO AL CARBON CON COSTURA DE 042.2 X 03.6 MM. ROJA (1 1/4" CED. 40)
01302172	TCC340RJA	0.0000	0.0000	239.3700	0.0000	TUBO DE ACERO AL CARBON CON COSTURA ROJO BERM UL/FM  DE 088.9 X 05.5 MM. (3" CED. 40)
01302173	TCC640RJA	0.0000	0.0000	514.3200	514.3200	TUBO DE ACERO AL CARBON CON COSTURA DE 168.3 X 07.1 MM. ROJA (6" CED. 40)
01302174	TSC840REPOL	0.0000	0.0000	1505.5182	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 219.1 X 08.2 MM. REC. POL. (8" CED. 40)
01302175	TSC1040REPOL	0.0000	0.0000	1999.4335	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 273.1 X 09.3 MM. REC. POL. (10" CED. 40)
01302176	TSC12X9.5REPOL	0.0000	0.0000	2833.3670	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 323.8 X 09.5 MM. REC. POL. (12" X 3/8")
01302177	TSC1430REPOL	0.0000	0.0000	2958.6050	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 355.6 X 09.6 MM. REC. POL. (14" CED. 30)
01302178	TSC1630REPOL	0.0000	0.0000	3335.4790	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 406.4 X 09.6 MM. REC. POL. (16" CED. 30)
01302179	TSC2020REPOL	0.0000	0.0000	4946.8156	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 508 X 09.5 MM. REC. POL. (20" CED. 20)
01302180	TSC2420REPOL	0.0000	0.0000	7084.8470	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 610 X 09.5 MM. REC. POL. (24" CED. 20)
01302181	TSC1/280REPOL	0.0000	0.0000	106.2566	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 021.3 X 03.7 MM. REC. POL. (1/2" CED. 80)
01302182	TSC11/280REPOL	0.0000	0.0000	251.0999	251.0999	TUBO DE ACERO AL CARBON SIN COSTURA 048.3 X 05.1 MM. REC. POL. (1 1/2" CED. 80)
01302183	TCC1/240RJA	0.0000	0.0000	81.6260	0.0000	TUBO DE ACERO AL CARBON CON COSTURA DE 021.3 X 02.8 MM. ROJA (1/2" CED. 40)
01302184	TCC1040A500	0.0000	0.0000	0.0000	0.0000	TUBO DE ACERO AL CARBON CON COSTURA DE 273.1 X 09.3 MM. A-500 (10" CED. 40)
01302185	TCC1440A500	0.0000	0.0000	0.0000	0.0000	TUBO DE ACERO AL CARBON CON COSTURA DE 356 X 11.1 MM. A-500 (14" CED. 40)
01302186	TSC340GR	0.0000	0.0000	687.0440	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 088.9 X 05.5 MM. GALV. ROSC. (3" CED. 40)
01302187	TSC3/480GR	0.0000	0.0000	218.9255	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 026.7 X 03.9 MM. GALV. ROSC. (3/4" CED. 80)
01302188	TSC3/440TM	0.0000	0.0000	604.0600	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 026.7 X 02.9 MM. (3/4" CED. 40)
01302189	TPVC10CED40H	0.0000	0.0000	0.0000	0.0000	TUBO DE PVC HID. DE 254 MM.  (10" CED. 40)
01302190	TPVC8CED40H	0.0000	0.0000	0.0000	0.0000	TUBO DE PVC HID. DE 203 MM.  (8" CED. 40)
01302191	TPVC6CED40H	0.0000	0.0000	0.0000	0.0000	TUBO DE PVC HID. DE 152 MM.  (6" CED. 40)
01620136	TPVC4DWVFC	0.0000	0.0000	112.3179	142.5089	TUBO DE PVC DE 102 MM. DWV FC (4")
01620137	TPVC6DWVFC	0.0000	0.0000	272.9824	272.9477	TUBO DE PVC DE 152 MM. DWV FC (6")
01103122	TSC540G	0.0000	0.0000	966.7580	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 141.3 X 06.5 MM. GALV. (5" CED. 40)
01620154	TCPVC1/280CORZAN	0.0000	0.0000	12.9636	12.9636	TUBO DE CPVC CORZAN DE 013 MM.  (1/2" CED. 80) 
01620155	TCPVC3/480CORZAN	0.0000	0.0000	17.6964	17.6964	TUBO DE CPVC CORZAN DE 019 MM.  (3/4" CED. 80)
01620156	TCPVC180CORZAN	0.0000	0.0000	25.9273	25.9273	TUBO DE CPVC CORZAN DE 025 MM.  (1" CED. 80)
01620157	TCPVC11/480CORZAN	0.0000	0.0000	36.4216	36.4216	TUBO DE CPVC CORZAN DE 032 MM.  (1 1/4" CED. 80)
01620158	TCPVC11/280CORZAN	0.0000	0.0000	61.9492	61.9492	TUBO DE CPVC CORZAN DE 038 MM.  (1 1/2" CED. 80)
01620159	TCPVC680CORZAN	0.0000	0.0000	321.2101	321.2101	TUBO DE CPVC CORZAN DE 152 MM.  (6" CED. 80)
01620160	TCPVC880CORZAN	0.0000	0.0000	535.6245	535.6245	TUBO DE CPVC CORZAN DE 203 MM.  (8" CED. 80)
01620161	TCPVC1/280CORZANA	0.0000	0.0000	28.2636	0.0000	TUBO DE CPVC CORZAN DE 013 MM. AISLADO  (1/2" CED. 80)
01620162	TCPVC3/480CORZANA	0.0000	0.0000	30.8964	0.0000	TUBO DE CPVC CORZAN DE 019 MM. AISLADO (3/4" CED. 80)
01620163	TCPVC180CORZANA	0.0000	0.0000	39.7273	0.0000	TUBO DE CPVC CORZAN DE 025 MM. AISLADO (1" CED. 80)
01620164	TCPVC11/480CORZANA	0.0000	0.0000	54.7216	0.0000	TUBO DE CPVC CORZAN DE 032 MM. AISLADO (1 1/4" CED. 80)
01620165	TCPVC11/280CORZANA	0.0000	0.0000	61.1492	0.0000	TUBO DE CPVC CORZAN DE 038 MM. AISLADO (1 1/2" CED. 80)
01620166	TCPVC280CORZANA	0.0000	0.0000	87.7285	0.0000	TUBO DE CPVC CORZAN DE 051 MM. AISLADO  (2" CED. 80) 
